RECORD,NAME,QUANTITY,VALUE
1,FLAT WHITE,13.00,35.40
3,AMERICANO,4.00,10.40
5,LATTE,7.00,15.75
22,EARL GREY,1.00,2.95
26,TRUFFLE MUSHROOMS,3.00,25.50
27,GF CAKE,0.00,0.00
29,KIDS GRANOLA,1.00,0.00
38,ENGLISH BREAKFAST,1.00,2.95
44,COLA,1.00,2.90
45,LEMONY LEMONADE ,0.00,0.00
48,ROSE WINE,0.00,0.00
49,WHITE WINE,0.00,0.00
54,SPARKLING WATER,2.00,6.00
56,CAW APPLE/PEAR,1.00,1.60
62,MOCHA,1.00,3.55
64,KOMBUCHA,0.00,0.00
67,FRY,3.00,36.00
68,POACHED NECTARINE,0.00,0.00
70,VEGAN FRY,1.00,12.00
71,SYRUP,1.00,0.40
76,PORK WAFFLES,0.00,0.00
77,TURKISH EGGS,1.00,7.95
87,BREAKFAST BOWL,4.00,46.00
113,EXTRA EGG,1.00,0.00
132,T/A ,1.00,0.00
142,KIDS SAUSAGE BEANS,2.00,4.95
145,KIDS BACON & BEANS,3.00,9.90
163,CAKE SLICE,12.00,36.00
195,BREAD,1.00,3.50
239,BANANA GRANOLA,0.00,0.00
253,CAMPBELL STREET 220,1.00,6.95
259,SWISS DECAF 220,1.00,6.95
260,ALTITUDE 1KG,1.00,26.80
342, KALE KICK,1.00,4.60
403, �4.00 BREAD,3.00,12.00
901,OAT MILK,7.00,0.00
902,DECAF,3.00,0.00
905,BLACK,2.00,0.00
906,HOT MILK,1.00,0.00
908,COLD MILK,1.00,0.00
920,POACHED,1.00,0.00
946,CARAMEL,1.00,0.00
960, TIPS,1.00,0.90
967,DAIRY ALLERGY,1.00,0.00

