RECORD,NAME,QUANTITY,VALUE
1,FLAT WHITE,6.00,17.70
3,AMERICANO,2.00,5.20
4,CAPPUCCINO,1.00,3.05
5,LATTE,8.00,25.20
6,ESPRESSO,1.00,2.45
8,OWN CUP,1.00,2.40
12,HOT CHOCOLATE,1.00,3.55
15,BEETROOT LATTE,3.00,10.65
19,GREEN TEA,3.00,8.85
22,EARL GREY,1.00,2.95
24,MISC FOOD,1.00,1.50
26,TRUFFLE MUSHROOMS,2.00,17.00
27,GF CAKE,2.00,6.50
51,SHEPPYS,2.00,9.20
61,ORANGE JUICE,2.00,6.00
63,CHAI LATTE,4.00,14.20
66,GARLIC BUTTER,3.00,26.85
70,VEGAN FRY,1.00,10.80
71,SYRUP,2.00,0.80
72,CREAM,1.00,0.40
76,PORK WAFFLES,2.00,17.90
77,TURKISH EGGS,3.00,23.85
83,COCONUT WAFFLES,1.00,11.00
87,BREAKFAST BOWL,2.00,23.00
91,TRUFFLED FRIES,3.00,16.50
100,TOAST,2.00,4.00
103,GINGER MARMALADE,1.00,0.00
112,EXTRA BACON,1.00,0.00
113,EXTRA EGG,2.00,0.00
124,EXTRA TOAST,1.00,0.50
139,COCONUT MILK,6.00,0.00
142,KIDS SAUSAGE BEANS,2.00,9.90
145,KIDS BACON & BEANS,2.00,4.95
163,CAKE SLICE,7.00,21.00
239,BANANA GRANOLA,1.00,4.95
251,ALTITUDE 220,1.00,6.95
343,COCO LOCO ,2.00,9.20
901,OAT MILK,4.00,0.00
902,DECAF,2.00,0.00
904,EXTRA HOT,4.00,0.00
905,BLACK,2.00,0.00
920,POACHED,2.00,0.00
930,JUST BUTTER,1.00,0.00
944,VANILLA,2.00,0.00
962,GLUTEN FREE,1.00,0.00
967,DAIRY ALLERGY,2.00,0.00

